27Mart-2Nisan
111.26
230.69
153.21
121.96
257.91
370.5
272.79
190.44
185.11
164.6
153.16
430.63
232.69
57.39
244.17
340.62
124.57
47.29
287.8
92.85
260.43
546.77
305.57
322.56
94.15
60.05
217.85
409.06
153.92
321.2
245.16
358.9
171.86
503.88
206.07
36.72
132.95
225.52
157.39
591.45
218.88
112.83
202.78
196.53
106.34
453
315.94
179.76
518.33
158
385.88
371.11
426.17
190.57
373.87
139.04
48.91
122.17
146.59
54.49
209.53
239.18
459.94
316.47
404.81
241.98
678.72
50.74
360.34
164.97
40.7
23.43
409.13
334.86
353.49
170.18
84.72
42.55
564.03
234.55
205.85
